ID No.,Start Date,Start Date - Month,Start Date - Day,Start Date - Year,End Date,End Date - Month,End Date - Day,End Date - Year,Exhibition Type,Title,Gallery Site,Gallery Terminal,Gallery Area,Gallery Level,Gallery Name
820,08/16/2005,8,16,2005,12/12/2005,12,12,2005,Photography,Women of Clay,D01,T2,D,D,D-01 Central North Connector
468,05/01/1987,5,1,1987,06/17/1987,6,17,1987,Photography,Images of Mexico,F03,T3,F,D,F-03 Gate 76
552,03/16/2002,3,16,2002,05/15/2002,5,15,2002,Student Art,Children s Art: San Francisco Symphony,C05,T1,C,A,C-05 Terminal One Lower Gallery
1230,02/28/2014,2,28,2014,09/14/2014,9,14,2014,General,Doors: Entryways to World Culture,G01,IT,G,D,G-01 International North Wall
1338,04/11/2014,4,11,2014,05/30/2014,5,30,2014,Student Art,Student Art: Pomeroy Recreation and Rehabilitation Center,A05,T1,A,A,A-05 Terminal One Lower Gallery
1230,03/07/2014,3,7,2014,09/22/2014,9,22,2014,General,Doors: Entryways to World Culture,A01,IT,A,D,A-01 International South Wall
1071,08/13/2010,8,13,2010,05/31/2011,5,31,2011,Aviation,China Clipper 75th Anniversary,K01,IT,A,D,AML Aviation Museum Gallery 01
361,09/16/1994,9,16,1994,10/15/1994,10,15,1994,Student Art,Children s Art: Art for Recovery UCSF/Mount Zion Hospital,F01,T3,F,D,F-01 Gate 68 Children’s Art Gallery
1497,10/19/2017,10,19,2017,06/18/2018,6,18,2018,Aviation,When You Got It - Flaunt It: Advertising Braniff Airlines,K05,IT,A,D,AML Aviation Museum Gallery 05a-d
358,05/16/1994,5,16,1994,06/15/1994,6,15,1994,Student Art,Children s Art: Berkeley Child Art Studio,F01,T3,F,D,F-01 Gate 68 Children’s Art Gallery
918,04/06/2007,4,6,2007,06/05/2007,6,5,2007,Student Art,"Children s Art: Materials, Techniques, and Media: The Jewish Community Center of San Francisco",C05,T1,C,A,C-05 Terminal One Lower Gallery
1123,10/04/2010,10,4,2010,11/30/2010,11,30,2010,Student Art,Children’s Art: Marin School,A05,T1,A,A,A-05 Terminal One Lower Gallery
1173,06/04/2012,6,4,2012,07/30/2012,7,30,2012,Student Art,Children’s Art: Ruth Asawa San Francisco School of the Arts,C05,T1,C,A,C-05 Terminal One Lower Gallery
609,10/14/1992,10,14,1992,12/01/1992,12,1,1992,General,San Francisco 1906 Earthquake,G03,T2,D,D,D-03 Central Concourse
264,05/19/1995,5,19,1995,07/31/1995,7,31,1995,General,Trades of Asia,G03,T2,D,D,D-03 Central Concourse
1163,02/01/2012,2,1,2012,04/30/2012,4,30,2012,Photography,Seza Bali,D05,T2,D,D,D-05 Central South Connector
24,01/22/1997,1,22,1997,04/10/1997,4,10,1997,General,Sweet Dreams,D02,T2,D,D,D-02 Central Fountain Gallery
1443,06/29/2016,6,29,2016,03/01/2017,3,1,2017,Aviation,Terra Cognito: Flights of Discovery by Aerial Explorers,K05,IT,A,D,AML Aviation Museum Gallery 05a-d
551,02/20/1990,2,20,1990,04/02/1990,4,2,1990,Student Art,Children s Art: James Denman Middle School of the Arts,F07,T3,F,D,F-07 Gate 74
1465,06/13/2017,6,13,2017,09/26/2017,9,26,2017,Photography,Edna Bullock: Flea Markets,D01,T2,D,D,D-01 Central North Connector
683,03/03/2003,3,3,2003,04/01/2003,4,1,2003,Student Art,Children s Art: Watercolors from Raphael House,A05,T1,A,A,A-05 Terminal One Lower Gallery
1586,02/16/2018,2,16,2018,05/10/2018,5,10,2018,Photography,Antoine Bruy: Scrublands,F03,T3,F,D,F-03 Gate 76
1460,09/14/2016,9,14,2016,10/15/2017,10,15,2017,Aviation,Fashion In Flight: A Photo Album,K06,IT,A,D,AML Aviation Museum Gallery 06a-e
801,01/06/2006,1,6,2006,04/04/2006,4,4,2006,Photography,Birdmen,F03,T3,F,D,F-03 Gate 76
621,06/16/2001,6,16,2001,08/15/2001,8,15,2001,Student Art,Children s Art: Pal Care,A05,T1,A,A,A-05 Terminal One Lower Gallery
1562,12/28/2017,12,28,2017,01/24/2018,1,24,2018,Video Art,MTL Rush,G03,IT,G,D,G-03 Video Arts Gallery
903,10/06/2006,10,6,2006,01/09/2007,1,9,2007,Aviation,Gone But Not Forgotten: San Francisco Airline Posters,K04A,IT,A,D,AML Aviation Museum Gallery 04a
1238,10/01/2012,10,1,2012,11/30/2012,11,30,2012,Student Art,Children’s Art: Root Division,C05,T1,C,A,C-05 Terminal One Lower Gallery
169,05/17/2002,5,17,2002,08/15/2002,8,15,2002,Photography,Science and Technology in California,B03,T1,B,D,B-03 Gate 36
1593,10/19/2017,10,19,2017,,,,,Aviation,"Poster, Special Collections, Braniff",K04B,IT,A,D,AML Aviation Museum Gallery 04b Special Collections Room
1521,10/26/2017,10,26,2017,01/25/2018,1,25,2018,Student Art,Art with Elders,F12,T3,F,A,F-12 Student Art
814,12/01/2004,12,1,2004,01/30/2005,1,30,2005,Student Art,Children s Art: Celebrate with Me San Francisco,A05,T1,A,A,A-05 Terminal One Lower Gallery
1515,05/02/2017,5,2,2017,08/04/2017,8,4,2017,Photography,Peter Steinhauer: Cocoons,B03,T1,B,D,B-03 Gate 36
1446,06/01/2016,6,1,2016,07/31/2016,7,31,2016,Student Art,Student Art: Ruth Asawa San Francisco School of the Arts,C05,T1,C,A,C-05 Terminal One Lower Gallery
1268,02/03/2014,2,3,2014,03/28/2014,3,28,2014,Student Art,Children’s Art: Artwork from Leap,C05,T1,C,A,C-05 Terminal One Lower Gallery
1020,08/03/2009,8,3,2009,09/30/2009,9,30,2009,Student Art,Children s Art: Artwork From Parkside Intermediate,C05,T1,C,A,C-05 Terminal One Lower Gallery
257,04/02/1992,4,2,1992,04/30/1992,4,30,1992,General,Frontera sin Sonrisa,G03,T2,D,D,D-03 Central Concourse
1254,12/02/2013,12,2,2013,02/28/2014,2,28,2014,Photography,John Sexton: Reflection on Nature in Black and White,D01,T2,D,D,D-01 Central North Connector
936,10/24/2007,10,24,2007,01/07/2008,1,7,2008,Photography,Natural Landscapes: Don Whitebread,F03,T3,F,D,F-03 Gate 76
973,10/01/2008,10,1,2008,11/30/2008,11,30,2008,Student Art,Children s Art: Peralta Elementary School,A05,T1,A,A,A-05 Terminal One Lower Gallery
1435,05/02/2016,5,2,2016,07/29/2016,7,29,2016,Photography,"Harry Smith’s Paper Airplane Collection, photographed by Jason Fulford",E05,T3,E,D,E-05 E Plaza Meet and Greet
1087,08/01/2011,8,1,2011,10/31/2011,10,31,2011,Photography,"The Local Nine: San Francisco Seals Baseball, 1903-1957",D05,T2,D,D,D-05 Central South Connector
1136,10/03/2011,10,3,2011,11/30/2011,11,30,2011,Student Art,"Children’s Art: Urban School, Place as Memories and Feelings - A Photographic Essay",A05,T1,A,A,A-05 Terminal One Lower Gallery
859,04/05/2006,4,5,2006,07/19/2006,7,19,2006,Photography,"Pre-Earthquake Images of San Francisco from ""The Illustrated Dictionary""",F03,T3,F,D,F-03 Gate 76
413,12/01/1995,12,1,1995,01/15/1996,1,15,1996,Photography,Roald Amundsen: The Spirit of Exploration,F03,T3,F,D,F-03 Gate 76
512,07/01/1988,7,1,1988,12/31/1988,12,31,1988,Student Art,"Children s Art: Home for Jewish Parents, Paintbrush Dipolmacy",F01,T3,F,D,F-01 Gate 68 Children’s Art Gallery
1095,08/24/2009,8,24,2009,12/07/2009,12,7,2009,Aviation,Air France and Predecessor Airlines,K04A,IT,A,D,AML Aviation Museum Gallery 04a
1479,01/05/2017,1,5,2017,04/06/2017,4,6,2017,Student Art,Student Art: Parkside Middle School,C05,T1,C,A,C-05 Terminal One Lower Gallery
965,06/03/2008,6,3,2008,07/31/2008,7,31,2008,Student Art,Children s Art: Alvarado Elementary School,C05,T1,C,A,C-05 Terminal One Lower Gallery
254,07/01/1991,7,1,1991,08/31/1991,8,31,1991,General,Visions of Venice,G03,T2,D,D,D-03 Central Concourse
